applied subject,year until now,GPA,current subject,is honor college,GMAT,GRE,english test exempted,TOFEL,IELTS,internship,result
Arts and Humanities,10,2.12,Engineering - Petroleum,1,0,267.75,1,0,0,0,0
Biological Sciences,4,2.82,"Theology, Divinity and Religious Studies",0,475.95,0,0,118.98,7.45,0,0
Life Sciences and Medicine,0,2.81,Arts and Humanities,0,0,261.7,0,108.94,8.64,0,1
Engineering and Technology,5,3.81,Engineering and Technology,1,775.33,330.21,1,0,0,0,1
Geology,6,3.2,Environmental Sciences,1,0,325.79,0,0,7.13,0,1
Biological Sciences,10,3.52,Biological Sciences,1,789.89,0,0,107.64,0,1,1
Sports-Related Subjects,8,3.36,Sports-Related Subjects,1,759.67,0,0,0,6.33,1,1
Social Policy and Administration,3,3.0,Social Policy and Administration,1,0,304.86,0,106.69,0,1,1
Economics and Econometrics,5,3.09,Economics and Econometrics,1,762.84,0,1,0,0,1,1
Physics and Astronomy,0,3.42,Physics and Astronomy,1,0,320.5,0,0,6.69,0,1
Library and Information Management,3,2.85,Psychology,0,0,262.86,1,0,0,1,0
Arts and Humanities,1,3.77,Arts and Humanities,1,775.21,0,0,114.26,0,0,1
Medicine,10,3.79,Medicine,1,0,306.49,1,0,0,1,1
Art History,7,3.8,Art History,0,0,313.47,1,0,0,1,0
Geography,0,2.23,Chemistry,0,0,222.99,1,0,0,0,0
Computer Science and Information Systems,2,2.84,Medicine,0,0,221.08,1,0,0,0,0
Library and Information Management,6,3.04,Mathematics,0,329.15,0,0,118.55,0,0,0
Pharmacy and Pharmacology,10,3.6,Development Studies,1,0,322.29,1,0,0,1,1
Communication and Media Studies,7,3.01,Communication and Media Studies,0,0,305.91,1,0,0,1,0
Modern Languages,7,3.28,Modern Languages,0,0,318.82,0,0,8.77,1,1
Economics and Econometrics,2,3.32,Economics and Econometrics,1,0,309.79,1,0,0,1,1
Veterinary Science,1,2.15,Geography,0,390.78,0,1,0,0,1,0
Politics,3,3.95,Politics,1,786.9,0,1,0,0,1,1
Politics,7,2.39,Environmental Sciences,0,409.16,0,0,94.65,6.72,0,0
Engineering - Civil and Structural,3,3.24,Business and Management Studies,0,317.04,0,1,0,0,0,0
Pharmacy and Pharmacology,6,3.75,Pharmacy and Pharmacology,1,737.1,0,1,0,0,1,1
Linguistics,5,3.56,Linguistics,1,748.76,307.56,1,0,0,1,1
Life Sciences and Medicine,3,3.48,Life Sciences and Medicine,1,768.37,337.17,1,0,0,1,1
Social Sciences and Management,0,3.51,Veterinary Science,0,0,334.07,0,96.12,0,1,1
Law and Legal Studies,7,3.66,Arts and Humanities,0,765.94,0,0,97.39,0,1,1
Biological Sciences,9,3.17,Sports-Related Subjects,0,0,250.82,0,118.63,0,0,0
Library and Information Management,9,3.49,Materials Sciences,1,0,332.45,0,0,8.87,1,1
Medicine,2,3.13,Medicine,0,0,332.73,1,0,0,0,0
Performing Arts,10,3.29,Performing Arts,1,0,322.49,1,0,0,1,1
Politics,10,2.99,English Language and Literature,0,619.81,0,0,0,8.82,0,0
Business and Management Studies,7,3.05,Business and Management Studies,0,740.95,0,0,101.05,7.02,1,1
Agriculture and Forestry,5,2.82,Business and Management Studies,0,535.49,188.62,1,0,0,0,0
Agriculture and Forestry,10,3.46,Agriculture and Forestry,1,0,317.84,0,92.0,8.57,0,1
Archaeology,6,3.75,Archaeology,0,775.41,311.56,1,0,0,1,1
Chemistry,2,3.9,Chemistry,1,790.11,300.58,1,0,0,1,0
Pharmacy and Pharmacology,4,2.84,"Theology, Divinity and Religious Studies",0,391.1,186.84,0,86.69,7.61,0,0
Art and Design,0,3.82,Art and Design,0,0,305.83,1,0,0,1,1
Engineering and Technology,2,3.93,Engineering and Technology,1,0,330.34,1,0,0,1,1
Biological Sciences,2,3.75,Biological Sciences,1,0,306.93,1,0,0,1,1
Philosophy,0,3.33,Agriculture and Forestry,1,0,314.3,1,0,0,1,0
Biological Sciences,6,3.61,Biological Sciences,1,768.0,0,0,119.59,0,0,1
Chemistry,6,3.29,Chemistry,1,701.27,0,0,98.21,0,1,0
English Language and Literature,3,3.29,English Language and Literature,1,709.01,0,0,99.7,6.79,1,1
Life Sciences and Medicine,5,2.37,Engineering - Petroleum,0,0,248.23,1,0,0,0,0
Architecture and Built Environment,5,2.83,Engineering - Chemical,1,626.12,0,1,0,0,0,0
Biological Sciences,5,3.01,Chemistry,0,0,195.66,0,117.1,8.87,1,0
Engineering - Petroleum,6,2.42,Linguistics,0,0,240.4,1,0,0,0,1
Nursing,7,3.21,Nursing,1,784.31,0,0,0,6.5,1,0
Social Sciences and Management,8,3.15,Social Sciences and Management,1,0,316.93,1,0,0,1,1
Geology,5,3.71,Geology,1,0,317.24,1,0,0,0,0
Psychology,1,3.98,Psychology,1,0,332.48,1,0,0,0,0
Linguistics,5,3.64,Linguistics,1,710.6,309.75,1,0,0,1,1
Modern Languages,2,3.04,Agriculture and Forestry,0,324.22,0,0,0,7.29,0,0
English Language and Literature,7,3.29,English Language and Literature,1,712.43,312.94,1,0,0,0,1
Communication and Media Studies,1,3.67,Communication and Media Studies,1,765.8,330.83,0,0,6.73,1,0
Education and Training,5,3.48,Education and Training,1,700.41,0,0,0,8.76,1,1
Library and Information Management,5,2.57,Linguistics,0,0,219.25,1,0,0,0,0
Architecture and Built Environment,1,2.42,Veterinary Science,1,566.43,0,1,0,0,0,0
Linguistics,0,3.77,Linguistics,0,0,301.2,0,112.74,6.32,0,1
Natural Sciences,5,3.76,Natural Sciences,1,0,322.35,0,94.58,0,1,1
Engineering - Mineral and Mining,8,3.15,Hospitality and Leisure Management,1,763.52,0,1,0,0,1,1
Chemistry,7,3.24,Chemistry,1,0,300.51,0,0,6.47,0,1
Engineering - Mechanical,6,3.4,Psychology,1,721.45,0,0,0,7.63,1,1
Medicine,0,2.97,Engineering - Chemical,0,0,234.88,1,0,0,0,0
Philosophy,9,3.32,Philosophy,1,760.29,306.11,1,0,0,1,1
Modern Languages,1,3.16,Modern Languages,1,0,335.81,0,111.11,0,1,1
Pharmacy and Pharmacology,5,3.92,Pharmacy and Pharmacology,1,0,315.68,1,0,0,1,1
Anatomy and Physiology,0,3.03,Anatomy and Physiology,1,751.78,0,1,0,0,1,1
Architecture and Built Environment,6,3.43,Architecture and Built Environment,1,0,324.81,1,0,0,0,1
Pharmacy and Pharmacology,6,3.25,Engineering - Mechanical,1,722.99,0,1,0,0,1,1
Anthropology,6,3.47,Anthropology,1,0,334.08,1,0,0,1,1
History,4,3.53,History,1,763.13,0,1,0,0,0,1
Marketing,5,3.05,Marketing,1,0,327.3,0,0,7.02,1,0
History,9,3.22,History,0,749.18,0,1,0,0,1,1
Modern Languages,6,3.13,Modern Languages,1,0,329.32,1,0,0,1,1
Architecture and Built Environment,0,3.09,Architecture and Built Environment,1,761.27,0,1,0,0,0,1
Computer Science and Information Systems,2,2.34,Hospitality and Leisure Management,0,0,243.47,0,0,8.65,0,0
Modern Languages,0,3.11,Sports-Related Subjects,1,0,312.6,0,0,7.78,1,1
Social Policy and Administration,6,3.91,Social Policy and Administration,1,741.7,0,1,0,0,1,0
Linguistics,2,3.48,Linguistics,1,760.46,307.41,1,0,0,1,1
Natural Sciences,3,3.67,Natural Sciences,1,0,330.51,0,0,8.4,1,1
Anthropology,0,3.0,Engineering - Chemical,1,0,194.02,1,0,0,0,0
Politics,0,3.35,Politics,0,0,339.44,1,0,0,1,1
Mathematics,8,3.28,Mathematics,0,0,307.53,0,80.56,0,1,1
Linguistics,7,2.49,Geography,1,411.97,275.18,0,104.92,7.18,0,1
Sports-Related Subjects,0,3.19,Sports-Related Subjects,0,791.3,0,1,0,0,1,1
Art History,1,3.41,Veterinary Science,1,783.82,324.4,1,0,0,1,1
Psychology,3,3.32,Psychology,1,705.7,0,1,0,0,1,1
Linguistics,10,3.67,Linguistics,1,787.35,328.65,1,0,0,1,1
Archaeology,0,3.09,Archaeology,1,0,333.98,1,0,0,1,0
Archaeology,6,2.36,Social Policy and Administration,0,0,205.16,0,118.88,0,0,0
Arts and Humanities,1,2.05,Education and Training,1,447.1,256.62,0,0,6.47,1,0
Geography,6,3.89,Geography,1,732.71,308.55,0,105.12,0,0,1
Engineering - Petroleum,0,3.94,Geology,1,729.08,0,1,0,0,1,1
Art History,4,3.89,Art History,0,0,316.54,0,100.41,0,1,1
Anthropology,2,3.56,Anthropology,1,0,329.78,1,0,0,1,0
Geophysics,8,3.6,Geophysics,0,771.97,0,1,0,0,1,1
Sports-Related Subjects,0,3.11,Art History,0,0,264.56,0,0,6.88,0,0
Engineering - Mechanical,4,3.22,Engineering - Mechanical,1,0,317.16,0,106.89,6.07,1,1
Archaeology,4,2.08,Art and Design,0,0,225.36,1,0,0,0,0
Education and Training,2,2.09,Arts and Humanities,0,527.65,0,0,101.2,0,0,1
Law and Legal Studies,7,2.42,English Language and Literature,1,420.27,204.12,0,81.7,6.62,0,0
Engineering - Mechanical,2,3.92,Engineering - Mechanical,1,0,314.34,1,0,0,1,1
Social Sciences and Management,2,3.01,Social Sciences and Management,1,0,308.46,1,0,0,0,1
Statistics and Operational Research,2,2.0,Agriculture and Forestry,0,0,279.98,0,102.98,0,1,0
Development Studies,9,3.65,Development Studies,1,0,306.99,0,83.03,0,1,1
Agriculture and Forestry,2,2.44,Library and Information Management,1,0,229.36,0,0,7.11,0,0
Sports-Related Subjects,1,3.28,Earth and Marine Sciences,0,402.99,251.44,1,0,0,0,1
Education and Training,0,3.46,Education and Training,1,739.5,0,0,0,8.29,1,1
Classics and Ancient History,1,3.52,Classics and Ancient History,1,763.89,0,0,93.74,0,1,1
Law and Legal Studies,8,3.47,English Language and Literature,1,747.46,0,1,0,0,0,1
Engineering - Mechanical,3,3.66,Engineering - Mechanical,1,715.58,0,0,0,8.93,1,1
Education and Training,7,3.21,Education and Training,1,0,310.1,1,0,0,1,1
Mathematics,2,3.52,Mathematics,1,792.77,0,1,0,0,1,1
Engineering - Mechanical,3,3.16,Engineering - Mechanical,0,704.15,0,1,0,0,1,0
Data Science,5,2.8,Engineering - Electrical and Electronic,1,541.86,0,1,0,0,0,0
Classics and Ancient History,4,3.78,Classics and Ancient History,1,737.53,0,0,0,6.16,0,0
Agriculture and Forestry,6,3.68,Agriculture and Forestry,1,793.92,309.69,0,0,7.83,1,1
Education and Training,1,3.26,Education and Training,1,0,311.98,0,0,6.81,1,1
Natural Sciences,6,3.65,Natural Sciences,1,741.24,0,0,0,7.26,1,1
Data Science,4,3.84,Data Science,1,738.95,0,0,93.96,0,1,1
Architecture and Built Environment,8,2.49,Geophysics,0,0,276.87,0,94.21,0,1,1
Geology,2,3.65,Geology,1,0,318.47,0,116.63,0,1,1
Business and Management Studies,0,2.19,Mathematics,0,305.86,0,1,0,0,0,0
Geology,3,3.87,Geology,1,0,307.02,0,116.89,0,1,1
Medicine,0,3.68,Medicine,1,729.52,0,0,80.83,0,1,1
Art History,7,2.86,Development Studies,0,0,211.44,0,0,6.76,0,0
Architecture and Built Environment,9,3.72,Architecture and Built Environment,1,0,310.56,0,0,8.08,0,0
Engineering - Civil and Structural,1,2.81,Engineering - Mechanical,0,592.08,187.86,1,0,0,0,1
Nursing,1,3.11,Nursing,1,0,313.42,0,0,8.02,1,1
Geology,1,3.08,Geology,1,0,312.18,1,0,0,0,1
Art and Design,5,3.37,Anatomy and Physiology,1,0,330.85,0,83.8,0,1,1
Dentistry,8,3.33,Dentistry,1,757.46,0,0,98.1,0,0,1
Philosophy,5,3.51,Philosophy,1,761.86,318.51,0,114.29,0,1,1
Geophysics,3,3.31,Veterinary Science,1,727.78,0,0,0,6.25,1,1
Engineering - Civil and Structural,7,3.16,English Language and Literature,1,509.42,0,1,0,0,0,0
Art and Design,8,3.96,Art and Design,1,0,304.5,1,0,0,1,0
Anatomy and Physiology,6,3.58,Agriculture and Forestry,1,787.86,0,1,0,0,0,1
Social Policy and Administration,10,3.68,Social Policy and Administration,1,0,324.17,0,80.52,0,0,1
Physics and Astronomy,3,3.61,Physics and Astronomy,1,795.11,0,1,0,0,1,1
Engineering - Civil and Structural,0,3.9,Medicine,1,738.01,0,0,0,6.3,1,1
Politics,10,2.3,Materials Sciences,0,0,262.71,0,113.41,0,1,1
Business and Management Studies,0,3.32,Business and Management Studies,1,799.21,0,0,98.52,0,1,1
Environmental Sciences,0,3.72,Environmental Sciences,1,755.54,332.17,0,0,6.87,1,1
English Language and Literature,8,2.3,Dentistry,1,584.01,0,1,0,0,0,0
Earth and Marine Sciences,6,3.29,Earth and Marine Sciences,1,726.3,336.3,1,0,0,0,0
Medicine,3,3.54,Medicine,1,0,306.13,0,0,6.61,1,0
Psychology,1,3.8,Library and Information Management,0,0,302.65,1,0,0,0,1
Engineering - Petroleum,7,3.8,Engineering - Petroleum,1,0,329.82,1,0,0,1,1
Geophysics,4,3.47,Geophysics,1,720.96,0,0,116.66,0,1,1
Mathematics,10,2.22,Computer Science and Information Systems,1,300.75,195.24,1,0,0,0,0
Engineering - Electrical and Electronic,1,3.09,Engineering - Electrical and Electronic,0,758.69,0,0,0,6.44,1,1
Sports-Related Subjects,4,3.21,Sports-Related Subjects,1,0,330.39,1,0,0,1,1
Dentistry,7,2.02,Linguistics,1,0,185.39,0,82.17,8.03,1,0
Sociology,5,2.19,Geophysics,0,0,247.23,0,0,6.15,0,0
Nursing,6,3.18,Nursing,0,753.72,301.57,1,0,0,0,1
Social Policy and Administration,9,3.13,Social Policy and Administration,1,0,334.72,1,0,0,1,1
Biological Sciences,0,3.22,Biological Sciences,1,790.4,0,0,110.13,0,1,1
Environmental Sciences,2,3.16,Environmental Sciences,1,0,319.19,0,95.64,6.48,0,1
Engineering and Technology,6,3.98,Engineering and Technology,1,765.98,339.79,1,0,0,1,1
Nursing,2,3.98,Nursing,1,785.08,325.69,0,84.65,0,0,1
Social Policy and Administration,7,3.44,Philosophy,1,0,332.89,0,0,8.79,0,1
Data Science,2,3.73,Data Science,1,0,304.46,0,0,7.44,0,1
Education and Training,8,3.51,Education and Training,1,0,315.69,1,0,0,1,1
Dentistry,10,3.4,Art History,1,0,308.88,0,109.85,0,1,1
Accounting and Finance,0,3.64,Accounting and Finance,1,0,335.57,0,0,6.98,0,1
"Theology, Divinity and Religious Studies",3,3.22,"Theology, Divinity and Religious Studies",1,793.3,305.83,1,0,0,0,1
Classics and Ancient History,10,3.0,Classics and Ancient History,0,0,332.78,0,0,6.56,1,0
Agriculture and Forestry,2,3.78,Agriculture and Forestry,1,784.69,319.95,1,0,0,1,1
Archaeology,8,3.57,Archaeology,1,733.92,0,1,0,0,0,1
Sociology,2,3.59,Classics and Ancient History,0,710.82,0,1,0,0,1,1
Communication and Media Studies,4,3.19,Natural Sciences,0,0,254.93,0,119.83,0,0,0
Engineering - Chemical,4,3.33,Engineering - Chemical,0,737.81,0,0,93.42,0,1,0
Anthropology,1,3.62,Anthropology,1,790.52,0,0,0,6.81,1,1
Social Sciences and Management,0,3.78,Social Sciences and Management,1,0,322.19,1,0,0,1,1
Law and Legal Studies,3,3.69,Law and Legal Studies,1,762.31,0,1,0,0,1,1
Biological Sciences,6,2.99,Education and Training,0,0,258.69,0,0,7.45,0,1
Veterinary Science,2,3.44,Veterinary Science,1,0,333.28,1,0,0,1,1
Geography,1,3.68,Geography,1,0,325.16,0,107.38,0,1,1
Computer Science and Information Systems,4,3.6,Nursing,0,0,306.31,0,98.02,6.07,1,0
Economics and Econometrics,6,2.06,Art and Design,0,0,279.12,0,0,8.51,1,0
Anthropology,10,2.1,Engineering - Mechanical,0,0,223.57,1,0,0,0,0
Anatomy and Physiology,10,3.67,Anatomy and Physiology,1,0,326.44,1,0,0,1,0
Engineering - Mechanical,7,2.89,Engineering - Civil and Structural,0,329.73,0,1,0,0,0,0
Engineering - Electrical and Electronic,9,3.28,Engineering - Electrical and Electronic,1,762.81,0,1,0,0,1,1
Classics and Ancient History,0,3.64,Arts and Humanities,1,0,313.63,1,0,0,1,1
Architecture and Built Environment,10,3.77,Architecture and Built Environment,1,0,336.33,1,0,0,1,1
Anatomy and Physiology,5,2.86,Biological Sciences,0,468.39,0,1,0,0,0,1
Dentistry,8,3.39,Dentistry,1,758.31,0,0,0,8.75,1,1
Natural Sciences,0,3.49,Natural Sciences,1,773.42,301.94,0,104.97,0,1,1
Economics and Econometrics,9,3.5,Economics and Econometrics,1,0,334.93,1,0,0,1,1
Geophysics,4,3.53,Geophysics,1,0,304.95,0,0,8.35,1,1
Engineering - Electrical and Electronic,10,2.12,Law and Legal Studies,0,0,253.66,0,0,8.89,0,0
Library and Information Management,0,3.02,Library and Information Management,1,0,322.25,0,94.55,0,1,0
Earth and Marine Sciences,0,3.29,Earth and Marine Sciences,1,0,332.39,1,0,0,1,1
English Language and Literature,5,3.23,Engineering - Chemical,0,717.91,0,1,0,0,1,0
Environmental Sciences,6,3.42,Environmental Sciences,0,756.43,336.05,0,0,8.42,1,1
Education and Training,6,3.34,Philosophy,1,0,311.75,0,0,7.89,1,1
Accounting and Finance,1,3.2,Accounting and Finance,1,0,321.19,1,0,0,1,0
Marketing,6,3.7,Marketing,0,0,310.97,0,0,6.81,0,1
Data Science,0,3.63,Data Science,1,716.04,0,0,85.58,6.57,1,1
Geography,3,3.56,Geography,1,736.6,0,0,0,7.98,1,1
Communication and Media Studies,2,3.7,Communication and Media Studies,1,0,326.42,1,0,0,1,1
Psychology,0,2.29,Marketing,0,0,278.15,0,114.41,0,0,0
Engineering - Mineral and Mining,0,3.52,Natural Sciences,1,762.42,0,1,0,0,0,1
Materials Sciences,0,3.25,Art History,1,0,333.99,1,0,0,1,1
Materials Sciences,6,3.72,Materials Sciences,1,723.3,0,0,0,8.52,1,1
Development Studies,5,3.81,Development Studies,0,720.74,0,0,80.33,0,1,1
Geography,10,3.33,Geography,1,759.67,335.97,0,114.01,0,1,1
Linguistics,4,3.54,Linguistics,0,0,319.47,1,0,0,1,1
English Language and Literature,1,2.56,Pharmacy and Pharmacology,0,458.51,0,0,98.33,6.75,0,1
Linguistics,9,2.35,Engineering - Mechanical,0,304.5,0,1,0,0,0,1
Dentistry,8,3.01,Statistics and Operational Research,1,708.16,304.91,1,0,0,0,1
Veterinary Science,1,3.67,Materials Sciences,1,0,321.64,1,0,0,1,1
Sports-Related Subjects,7,3.02,Sports-Related Subjects,1,0,329.21,0,86.04,8.84,0,0
Engineering - Civil and Structural,8,3.29,Engineering - Civil and Structural,1,771.26,0,1,0,0,0,1
Statistics and Operational Research,3,2.11,Environmental Sciences,0,0,181.22,1,0,0,0,0
Anatomy and Physiology,8,2.38,Law and Legal Studies,1,0,217.18,1,0,0,0,0
Environmental Sciences,8,3.56,Environmental Sciences,1,0,329.57,1,0,0,1,1
Psychology,4,3.52,Psychology,1,0,321.84,0,96.15,0,1,1
Art History,6,3.12,Architecture and Built Environment,1,794.71,0,1,0,0,1,1
Sports-Related Subjects,0,3.96,Sports-Related Subjects,1,0,315.32,0,96.26,7.14,0,1
Philosophy,7,2.42,"Theology, Divinity and Religious Studies",0,372.03,0,1,0,0,0,0
Engineering and Technology,6,3.24,Engineering and Technology,1,0,336.26,1,0,0,0,1
Library and Information Management,10,3.07,Library and Information Management,1,744.55,0,1,0,0,1,1
Geography,0,3.29,Geography,1,721.49,0,1,0,0,1,1
Geography,2,3.04,Environmental Sciences,1,420.0,0,0,0,7.13,0,0
Nursing,2,3.69,Linguistics,1,726.99,0,0,93.33,0,1,0
Archaeology,0,3.79,Archaeology,1,727.96,0,0,112.05,0,1,1
Agriculture and Forestry,1,3.02,Business and Management Studies,0,616.32,0,0,0,8.8,1,1
Engineering - Mineral and Mining,2,3.24,Engineering - Mineral and Mining,1,700.52,0,1,0,0,0,1
Physics and Astronomy,1,3.14,Physics and Astronomy,0,0,334.0,0,0,6.52,1,1
Biological Sciences,9,3.81,Biological Sciences,1,775.66,328.4,1,0,0,1,1
Art and Design,6,3.15,Art and Design,1,0,326.87,0,0,6.92,1,0
Education and Training,7,3.96,Education and Training,1,0,335.57,0,0,7.56,0,1
Dentistry,8,2.51,History,0,362.09,246.41,0,0,8.21,0,0
Engineering - Petroleum,7,3.24,Engineering - Petroleum,0,0,318.17,1,0,0,0,0
Biological Sciences,2,3.26,Engineering - Electrical and Electronic,0,0,222.05,1,0,0,0,0
"Theology, Divinity and Religious Studies",9,3.63,"Theology, Divinity and Religious Studies",1,761.14,312.0,1,0,0,0,1
Life Sciences and Medicine,7,3.76,Life Sciences and Medicine,1,0,307.75,1,0,0,1,1
Art and Design,4,3.72,Art and Design,1,710.11,0,0,0,8.41,1,1
Nursing,7,3.84,Education and Training,1,0,300.26,1,0,0,1,1
Nursing,4,3.37,Nursing,1,770.26,328.07,1,0,0,1,1
Physics and Astronomy,7,2.4,Architecture and Built Environment,0,472.42,0,0,0,8.86,0,0
Hospitality and Leisure Management,1,3.05,Law and Legal Studies,1,488.13,0,1,0,0,0,0
Data Science,3,3.18,Data Science,0,711.86,319.28,0,108.76,7.45,1,1
Communication and Media Studies,6,3.97,Communication and Media Studies,0,0,335.59,0,102.77,0,1,1
Hospitality and Leisure Management,4,3.89,Hospitality and Leisure Management,0,724.32,0,0,119.05,0,1,1
Geophysics,0,3.53,Geophysics,1,762.32,0,1,0,0,1,1
Materials Sciences,5,3.82,Materials Sciences,1,779.83,0,0,110.37,8.25,1,1
Natural Sciences,2,3.84,Modern Languages,1,0,316.63,0,0,6.86,1,1
Art History,6,3.67,English Language and Literature,1,732.77,327.57,0,83.82,0,0,1
Computer Science and Information Systems,9,3.17,Computer Science and Information Systems,1,765.05,0,1,0,0,1,1
Education and Training,1,3.84,Education and Training,1,772.23,0,0,117.47,7.14,1,1
Art and Design,1,3.77,Art and Design,1,708.87,0,1,0,0,1,1
Communication and Media Studies,7,3.39,Communication and Media Studies,1,753.34,0,1,0,0,1,1
Engineering - Electrical and Electronic,9,3.25,Pharmacy and Pharmacology,1,700.52,0,0,83.65,0,1,0
Communication and Media Studies,10,3.67,Communication and Media Studies,0,0,301.11,1,0,0,0,1
Performing Arts,10,3.06,Architecture and Built Environment,1,729.23,0,1,0,0,0,0
Law and Legal Studies,5,3.83,Archaeology,1,0,322.68,0,0,6.19,1,1
English Language and Literature,9,3.07,History,1,0,227.03,1,0,0,0,0
Development Studies,5,3.44,Development Studies,1,711.71,318.06,1,0,0,1,1
Mathematics,8,3.57,Agriculture and Forestry,1,714.8,0,1,0,0,1,0
Accounting and Finance,3,3.35,Accounting and Finance,0,0,307.86,0,0,8.37,1,1
Life Sciences and Medicine,3,3.51,Life Sciences and Medicine,1,0,311.16,1,0,0,0,1
Engineering - Electrical and Electronic,9,3.79,Engineering - Electrical and Electronic,1,781.61,0,1,0,0,0,1
English Language and Literature,1,2.89,Geophysics,1,0,256.2,1,0,0,1,0
Life Sciences and Medicine,9,3.19,Pharmacy and Pharmacology,0,790.94,0,1,0,0,0,1
Anthropology,3,3.42,Anthropology,1,0,307.4,0,95.4,0,1,1
Physics and Astronomy,9,2.25,"Theology, Divinity and Religious Studies",0,457.35,0,1,0,0,0,0
Marketing,2,3.1,Marketing,1,760.06,0,1,0,0,1,1
Engineering - Petroleum,4,3.2,Engineering - Petroleum,1,780.03,319.23,1,0,0,1,1
Engineering - Mechanical,3,3.37,Engineering - Mechanical,0,706.97,309.22,0,110.93,0,1,1
Arts and Humanities,1,3.93,Arts and Humanities,1,733.8,0,1,0,0,1,0
Anatomy and Physiology,1,3.28,Archaeology,1,0,302.18,1,0,0,1,1
Biological Sciences,6,3.17,Social Sciences and Management,1,0,335.47,1,0,0,0,1
Geophysics,6,3.83,Geophysics,0,773.1,310.24,0,0,7.19,1,1
Materials Sciences,8,3.44,Materials Sciences,0,0,321.85,0,0,6.34,1,1
Social Sciences and Management,1,3.13,Social Sciences and Management,1,713.31,0,1,0,0,1,1
Physics and Astronomy,9,3.1,Statistics and Operational Research,1,0,325.41,1,0,0,1,1
Environmental Sciences,6,2.72,Earth and Marine Sciences,0,616.05,0,0,95.97,0,0,0
Sociology,4,3.54,Sociology,1,0,319.32,0,0,7.34,1,1
Engineering - Electrical and Electronic,3,2.48,Social Sciences and Management,1,465.3,0,1,0,0,0,0
Dentistry,7,3.55,Dentistry,1,769.23,0,0,0,7.38,1,1
Classics and Ancient History,9,3.78,Classics and Ancient History,1,718.62,0,0,111.93,6.4,1,1
Pharmacy and Pharmacology,8,3.53,Pharmacy and Pharmacology,1,702.21,0,1,0,0,1,1
Statistics and Operational Research,4,3.78,Statistics and Operational Research,0,0,332.07,0,0,8.04,1,1
Development Studies,4,3.91,Development Studies,1,0,310.79,1,0,0,1,0
Modern Languages,1,3.31,Modern Languages,0,737.7,0,0,95.85,0,0,0
